epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3267.69,0.66327,1.40102,0.74691,1.09744,0.84457,0.878,0.91273,0.75255,0.84052,0.87263,0.9073,0.72306,0.63798,1.13204,0.55129,1.03135,0.000481543,0.000481543,0.000481543
40,3344.93,0.65572,1.39648,0.74046,1.08766,0.90197,0.8683,0.92119,0.75807,0.89353,0.85598,0.91,0.72846,0.63279,1.12571,0.5165,1.03016,0.000470294,0.000470294,0.000470294
41,3422.34,0.66023,1.37239,0.72608,1.09023,0.88844,0.87898,0.93517,0.77468,0.88915,0.8758,0.93367,0.74194,0.60564,1.10357,0.52038,1.00102,0.000459045,0.000459045,0.000459045
42,3499.4,0.66765,1.42662,0.75042,1.09817,0.87223,0.87364,0.92283,0.77013,0.87329,0.87385,0.9237,0.73495,0.61345,1.10698,0.51602,1.00975,0.000447796,0.000447796,0.000447796
43,3576.84,0.64377,1.35704,0.7219,1.08065,0.88259,0.86226,0.9195,0.76074,0.8848,0.86173,0.91752,0.72383,0.62294,1.1502,0.52862,1.01364,0.000436547,0.000436547,0.000436547
44,3654.13,0.642,1.35994,0.72295,1.08356,0.8886,0.87855,0.92592,0.77249,0.88222,0.87087,0.91238,0.73536,0.60909,1.08422,0.49597,1.00882,0.000425298,0.000425298,0.000425298
45,3731.78,0.62902,1.34197,0.69556,1.07076,0.9143,0.86234,0.93346,0.78193,0.91205,0.86414,0.92442,0.74459,0.5985,1.07395,0.4929,0.99449,0.000414049,0.000414049,0.000414049
46,3809.28,0.6446,1.37608,0.7126,1.08595,0.8679,0.89349,0.93392,0.77524,0.86695,0.89072,0.92765,0.74677,0.60038,1.08049,0.50537,0.99587,0.000402801,0.000402801,0.000402801
47,3890.35,0.63215,1.33358,0.70712,1.07494,0.88522,0.87353,0.92669,0.78,0.90008,0.8619,0.92342,0.74656,0.59986,1.07407,0.50754,0.9996,0.000391552,0.000391552,0.000391552
48,3981.87,0.63516,1.3634,0.70251,1.07373,0.90074,0.89257,0.93355,0.78468,0.89879,0.89693,0.9321,0.75314,0.59868,1.0536,0.4742,0.99876,0.000380303,0.000380303,0.000380303
49,4074.33,0.62327,1.32227,0.69366,1.0683,0.89294,0.89944,0.93808,0.78793,0.88524,0.8973,0.93489,0.75936,0.59535,1.05549,0.47968,0.997,0.000369054,0.000369054,0.000369054
50,4165.23,0.61991,1.31305,0.67801,1.06625,0.91421,0.86812,0.93616,0.78316,0.91196,0.86634,0.93051,0.75294,0.59481,1.06307,0.49312,0.99156,0.000357805,0.000357805,0.000357805
51,4256.75,0.62337,1.30756,0.67599,1.06949,0.88662,0.89339,0.93182,0.78135,0.89091,0.88697,0.92684,0.75145,0.59537,1.0375,0.4826,0.99968,0.000346556,0.000346556,0.000346556
52,4349.24,0.62056,1.31594,0.67093,1.06678,0.91405,0.88207,0.9407,0.79059,0.91157,0.8808,0.93931,0.75491,0.59032,1.05172,0.46711,0.99387,0.000335307,0.000335307,0.000335307
53,4439.87,0.61772,1.30639,0.66256,1.06424,0.91332,0.89785,0.942,0.7958,0.91232,0.89682,0.93967,0.76518,0.57826,1.04113,0.46376,0.9771,0.000324058,0.000324058,0.000324058
54,4532.87,0.61119,1.29934,0.66287,1.06661,0.90387,0.90787,0.94704,0.7996,0.90136,0.90336,0.94308,0.76314,0.57913,1.0419,0.47381,0.98078,0.00031281,0.00031281,0.00031281
55,4626.4,0.62367,1.3492,0.6779,1.07071,0.92109,0.89655,0.94665,0.79695,0.92496,0.89269,0.94266,0.76397,0.58069,1.02464,0.4622,0.97836,0.000301561,0.000301561,0.000301561
56,4719.48,0.60731,1.28817,0.64923,1.0586,0.92061,0.90293,0.94985,0.79839,0.91502,0.9028,0.948,0.77019,0.58101,1.0257,0.46629,0.98506,0.000290312,0.000290312,0.000290312
57,4812.51,0.61685,1.34781,0.66608,1.06943,0.92508,0.91095,0.95074,0.80503,0.92252,0.90896,0.94845,0.77458,0.57096,1.01368,0.45524,0.96585,0.000279063,0.000279063,0.000279063
58,4904.97,0.59809,1.26866,0.63662,1.05229,0.90723,0.91366,0.94844,0.80667,0.91436,0.9069,0.94627,0.7716,0.56569,1.02329,0.44523,0.97001,0.000267814,0.000267814,0.000267814
59,4996.86,0.58511,1.24836,0.62633,1.04958,0.9354,0.88962,0.94544,0.80622,0.93265,0.8869,0.94303,0.7704,0.56316,1.01717,0.43948,0.96936,0.000256565,0.000256565,0.000256565
60,5089.07,0.59718,1.28369,0.63755,1.05657,0.92349,0.91499,0.95021,0.8102,0.92011,0.91205,0.94875,0.7786,0.56763,1.01473,0.43594,0.97796,0.000245316,0.000245316,0.000245316
61,5181.93,0.59023,1.27342,0.62295,1.04748,0.92913,0.893,0.94956,0.81451,0.92518,0.88932,0.94523,0.77403,0.54993,1.01058,0.43963,0.95816,0.000234068,0.000234068,0.000234068
62,5258.68,0.58348,1.21443,0.61037,1.0419,0.93831,0.89551,0.95374,0.81984,0.93305,0.89389,0.95058,0.78313,0.54823,0.97397,0.42844,0.95264,0.000222819,0.000222819,0.000222819
63,5335.82,0.59641,1.26771,0.62655,1.05437,0.90048,0.93429,0.9535,0.82147,0.90136,0.93426,0.95386,0.7824,0.54785,0.99126,0.42163,0.95469,0.00021157,0.00021157,0.00021157
64,5412.89,0.58523,1.23891,0.61276,1.04494,0.9202,0.91991,0.95445,0.82047,0.91562,0.91662,0.94563,0.78198,0.54984,0.97327,0.42472,0.95218,0.000200321,0.000200321,0.000200321
65,5490.96,0.58469,1.25091,0.61223,1.04328,0.91081,0.92144,0.95694,0.82443,0.90924,0.91961,0.95427,0.78462,0.54602,0.9939,0.41964,0.95273,0.000189072,0.000189072,0.000189072
66,5583.25,0.58477,1.26088,0.60892,1.04367,0.94085,0.90563,0.95304,0.82203,0.93574,0.90499,0.95198,0.78233,0.54134,0.99628,0.41985,0.95487,0.000177823,0.000177823,0.000177823
67,5675,0.58017,1.24255,0.6058,1.04315,0.94421,0.90509,0.95766,0.827,0.94717,0.90163,0.95619,0.78803,0.53765,0.98434,0.41548,0.9493,0.000166574,0.000166574,0.000166574
68,5766.38,0.58076,1.23622,0.61095,1.03964,0.92565,0.91416,0.95673,0.82618,0.92425,0.91491,0.95561,0.78875,0.53323,0.97382,0.41094,0.94041,0.000155325,0.000155325,0.000155325
69,5858.36,0.57013,1.21549,0.5931,1.03945,0.93437,0.91137,0.95713,0.82703,0.93527,0.91164,0.95613,0.78811,0.53194,0.9782,0.41441,0.93861,0.000144077,0.000144077,0.000144077
70,5951.19,0.56496,1.22712,0.59126,1.03176,0.9326,0.91068,0.95746,0.8228,0.93488,0.91055,0.95636,0.7848,0.53488,0.97894,0.40934,0.94489,0.000132828,0.000132828,0.000132828
71,6084.24,0.42779,0.7875,0.39266,0.95648,0.93699,0.90425,0.95489,0.82887,0.93605,0.90313,0.95333,0.78667,0.52895,0.98607,0.41119,0.94055,0.000121579,0.000121579,0.000121579
72,6176.39,0.41229,0.76205,0.35506,0.95412,0.93669,0.90694,0.95466,0.82832,0.93611,0.90538,0.9503,0.78957,0.523,0.97023,0.3983,0.9359,0.00011033,0.00011033,0.00011033
73,6268.55,0.40705,0.74504,0.35189,0.94594,0.94515,0.90608,0.95782,0.83234,0.94369,0.90465,0.9567,0.79301,0.51798,0.95553,0.39,0.92939,9.9081e-05,9.9081e-05,9.9081e-05
74,6357.26,0.39743,0.73763,0.33619,0.93575,0.92286,0.92106,0.95708,0.83481,0.92186,0.92003,0.95557,0.79513,0.51321,0.95398,0.39291,0.92333,8.78321e-05,8.78321e-05,8.78321e-05
75,6434.62,0.39775,0.74467,0.33301,0.93403,0.93685,0.91476,0.95872,0.84085,0.93836,0.9114,0.95701,0.7981,0.51172,0.945,0.38877,0.92288,7.65832e-05,7.65832e-05,7.65832e-05
76,6512.74,0.3862,0.72235,0.3164,0.93035,0.93163,0.91685,0.95865,0.84074,0.93117,0.91617,0.95714,0.80134,0.50842,0.93985,0.38365,0.91831,6.53344e-05,6.53344e-05,6.53344e-05
77,6590.36,0.38798,0.71929,0.31462,0.92996,0.91442,0.93912,0.9598,0.84446,0.91359,0.938,0.95761,0.80534,0.50008,0.94198,0.38247,0.91248,5.40855e-05,5.40855e-05,5.40855e-05
78,6665.93,0.38706,0.71826,0.3174,0.93113,0.92907,0.92946,0.95925,0.84379,0.92845,0.92851,0.9582,0.80411,0.50525,0.9389,0.38229,0.91736,4.28366e-05,4.28366e-05,4.28366e-05
79,6755.01,0.38118,0.71212,0.32218,0.92815,0.95463,0.91177,0.96153,0.84605,0.92606,0.93343,0.96081,0.80531,0.50256,0.9361,0.37637,0.91675,3.15878e-05,3.15878e-05,3.15878e-05
80,6844.29,0.37632,0.70861,0.3079,0.92252,0.94316,0.92725,0.96166,0.84761,0.93773,0.92979,0.96041,0.80573,0.49793,0.93423,0.37932,0.91275,2.03389e-05,2.03389e-05,2.03389e-05
